name,price
Блиск для губ Eveline 3D S&C HOLOGRAPHIK BRILLIANT 9 м,61 гр
Туш для вій Maybelline New York Lash Sensational відтінок Чорний  9.5 м,259 гр
Тональний крем Maybelline New York Affiniton,157 гр
Тіні для повік Lovely Surprise Me Violet Field Edition 6 ,172 гр
Туш для вій Maybelline New York Lash Sensational Intense black відтінок чорнильні-чорний  9.5 м,259 гр
Туш для вій Eveline Extension Volume 4D 10 м,125 гр
Туш для вій Maybelline New York THE COLOSSAL Smoky eyes відтінок Чорний  10 7 м,230 гр
Туш для вій Maybelline New York The Colossal Colossal 100% Чорна відтінок Чорний  10 7 м,230 гр
Туш для вій L'Oréal Paris Volume Million Lashes Feline Extra-Black відтінок Екстра-чорний  9 2 м,259 гр
Підводка для очей Eveline Liguid Precision водостійка чорна 4 м,99 гр
Туш для вій Eveline Volumix Fiberlast Flexy 11 м,105 гр
Туш для вій Eveline Volumix Fiberlast Sexy 11 м,105 гр
Підводка для очей Eveline CELEBRITIES EYELINER водостійка 3 м,99 гр
Туш для вій Eveline Big Volume Lash 9 м,138 гр
